[2026-07-05 00:29:02] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:02] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:02] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:03] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:03] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:37] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:37] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:37] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:37] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:29:37] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function site_url() in C:\xampp\htdocs\grocery-store\public\includes\seo.php on line 28 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:30:56] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\login.php on line 39 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 00:30:56] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\register.php on line 39 | Code: 0 | UA: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8737
[2026-07-05 01:15:37] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\login.php on line 39 | Code: 0 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
[2026-07-05 01:15:38] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\login.php on line 39 | Code: 0 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
[2026-07-05 01:24:58] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\login.php on line 39 | Code: 0 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
[2026-07-05 01:24:59] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\login.php on line 39 | Code: 0 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
[2026-07-05 01:28:39] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\login.php on line 39 | Code: 0 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36
[2026-07-05 01:30:05] [IP:::1] [UID:GUEST] [ACT:FATAL_EXCEPTION] MSG: Call to undefined function display_flash_alerts() in C:\xampp\htdocs\grocery-store\public\login.php on line 39 | Code: 0 | UA: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
